configuration,intent,guideline_id,count
C5,Recommendation,G6,41
C5,Recommendation,G10,9
C5,Recommendation,G3,22
C5,Recommendation,G4,9
C5,Recommendation,G9,12
C5,Recommendation,G5,3
C5,Recommendation,G8,2
C5,Recommendation,G12,2
C5,Recommendation,G15,3
C5,Recommendation,G7,1
C6,Question,G3,9
C6,Question,G1,89
C6,Question,G13,27
C6,Question,G2,27
C6,Question,G15,9
C6,Question,G7,1
C6,Question,G5,1
C6,Question,G6,3
C6,Direction,G1,40
C6,Direction,G2,31
C6,Direction,G6,1
C6,Direction,G10,1
C6,Direction,G13,10
C6,Direction,G5,2
C6,Direction,G15,2
C6,Direction,G4,1
C6,Direction,G3,6
C6,Clarification,G1,79
C6,Clarification,G2,9
C6,Clarification,G13,26
C6,Clarification,G15,6
C6,Clarification,G6,1
C6,Clarification,G3,5
C6,Recommendation,G1,31
C6,Recommendation,G2,8
C6,Recommendation,G13,13
C6,Recommendation,G3,7
C7,Question,G1,78
C7,Question,G3,29
C7,Question,G13,25
C7,Question,G2,30
C7,Question,G12,3
C7,Question,G15,6
C7,Question,G4,2
C7,Question,G5,2
C7,Question,G6,21
C7,Question,G10,3
C7,Question,G9,9
C7,Question,G8,3
C7,Question,G14,1
C7,Clarification,G6,13
C7,Clarification,G7,2
C7,Clarification,G1,69
C7,Clarification,G2,11
C7,Clarification,G3,23
C7,Clarification,G13,31
C7,Clarification,G12,2
C7,Clarification,G8,2
C7,Clarification,G9,10
C7,Clarification,G5,2
C7,Clarification,G15,3
C7,Clarification,G14,1
C7,Direction,G1,49
C7,Direction,G2,15
C7,Direction,G6,5
C7,Direction,G13,22
C7,Direction,G3,18
C7,Direction,G14,1
C7,Direction,G12,3
C7,Direction,G9,9
C7,Direction,G5,1
C7,Direction,G10,2
C7,Direction,G15,2
C7,Direction,G4,1
C7,Direction,G7,1
C7,Recommendation,G1,59
C7,Recommendation,G9,21
C7,Recommendation,G3,23
C7,Recommendation,G2,16
C7,Recommendation,G5,1
C7,Recommendation,G6,15
C7,Recommendation,G12,2
C7,Recommendation,G10,3
C7,Recommendation,G13,20
C7,Recommendation,G15,1
C7,Recommendation,G4,3
C7,Recommendation,G14,1
C8,Question,G3,3
C8,Question,G13,25
C8,Question,G2,25
C8,Question,G1,49
C8,Question,G6,3
C8,Question,G15,2
C8,Question,G7,2
C8,Clarification,G1,49
C8,Clarification,G2,20
C8,Clarification,G13,27
C8,Clarification,G15,3
C8,Clarification,G6,1
C8,Direction,G1,47
C8,Direction,G13,21
C8,Direction,G2,13
C8,Direction,G6,1
C8,Direction,G3,1
C8,Recommendation,G1,36
C8,Recommendation,G2,13
C8,Recommendation,G13,18
C8,Recommendation,G3,8
C8,Recommendation,G14,1
